UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
21-May;DPK; 547 ; 507 ; 599 ; 295 ; 368 ; 486 ; 354 ; 528 ; 530 ; 1.580 ; 444 ; 640 ; 724 ; 306 ; 339 ; 428 ; 462 ; 1.276 ; 612 ; 393 ; 314 ; 787 ; 1.292 ; 1.424 ; 692 ; 897 ; 1.101 ; 1.139 ; 965 ; 1.667 
22-May;DPK; 564 ; 502 ; 601 ; 304 ; 364 ; 486 ; 355 ; 530 ; 526 ; 1.741 ; 446 ; 636 ; 684 ; 305 ; 340 ; 428 ; 497 ; 1.272 ; 613 ; 388 ; 369 ; 788 ; 1.322 ; 1.427 ; 698 ; 912 ; 1.172 ; 1.135 ; 994 ; 1.678 
23-May;DPK; 562 ; 502 ; 596 ; 303 ; 366 ; 485 ; 356 ; 526 ; 517 ; 1.742 ; 447 ; 640 ; 678 ; 305 ; 341 ; 426 ; 497 ; 1.270 ; 613 ; 391 ; 366 ; 791 ; 1.314 ; 1.428 ; 698 ; 911 ; 1.179 ; 1.134 ; 994 ; 1.676 
24-May;DPK; 561 ; 501 ; 595 ; 301 ; 1.315 ; 485 ; 354 ; 1.134 ; 518 ; 1.740 ; 447 ; 640 ; 676 ; 306 ; 340 ; 424 ; 496 ; 1.267 ; 609 ; 697 ; 366 ; 525 ; 905 ; 0 ; 796 ; 1.430 ; 993 ; 1.179 ; 364 ; 1.680 
25-May;DPK; 568 ; 508 ; 608 ; 305 ; 366 ; 489 ; 352 ; 535 ; 540 ; 1.717 ; 454 ; 631 ; 677 ; 308 ; 342 ; 420 ; 471 ; 1.261 ; 621 ; 396 ; 369 ; 775 ; 1.314 ; 1.409 ; 708 ; 929 ; 1.085 ; 1.140 ; 852 ; 1.710 
26-May;DPK; 582 ; 528 ; 616 ; 307 ; 342 ; 491 ; 354 ; 539 ; 554 ; 1.718 ; 451 ; 638 ; 711 ; 303 ; 345 ; 423 ; 494 ; 1.268 ; 605 ; 397 ; 322 ; 794 ; 1.332 ; 1.420 ; 721 ; 940 ; 1.090 ; 1.120 ; 868 ; 1.709 
27-May;DPK; 581 ; 526 ; 629 ; 307 ; 342 ; 488 ; 354 ; 539 ; 554 ; 1.714 ; 450 ; 639 ; 710 ; 300 ; 344 ; 423 ; 492 ; 1.264 ; 602 ; 398 ; 322 ; 796 ; 1.328 ; 1.420 ; 721 ; 935 ; 1.092 ; 1.120 ; 869 ; 1.702 
28-May;DPK; 581 ; 522 ; 625 ; 311 ; 338 ; 487 ; 351 ; 536 ; 553 ; 1.711 ; 449 ; 645 ; 704 ; 298 ; 339 ; 422 ; 490 ; 1.254 ; 601 ; 395 ; 324 ; 798 ; 1.324 ; 1.422 ; 722 ; 933 ; 1.093 ; 1.114 ; 868 ; 1.698 
29-May;DPK; 586 ; 527 ; 618 ; 308 ; 342 ; 487 ; 360 ; 543 ; 562 ; 1.705 ; 453 ; 650 ; 703 ; 305 ; 341 ; 427 ; 516 ; 1.281 ; 608 ; 411 ; 338 ; 836 ; 1.358 ; 1.464 ; 727 ; 940 ; 1.117 ; 1.154 ; 902 ; 1.706 
30-May;DPK; 586 ; 525 ; 615 ; 309 ; 345 ; 488 ; 362 ; 541 ; 563 ; 1.716 ; 457 ; 659 ; 709 ; 304 ; 345 ; 430 ; 522 ; 1.280 ; 609 ; 414 ; 338 ; 839 ; 1.362 ; 1.466 ; 722 ; 939 ; 1.118 ; 1.147 ; 901 ; 1.708 
