UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
25-Jan;DEPO; 91 ; 71 ; 112 ; 51 ; 66 ; 75 ; 49 ; 117 ; 132 ; 418 ; 142 ; 75 ; 151 ; 32 ; 49 ; 78 ; 72 ; 474 ; 159 ; 91 ; 56 ; 201 ; 327 ; 323 ; 236 ; 179 ; 535 ; 348 ; 164 ; 359 
26-Jan;DEPO; 91 ; 72 ; 112 ; 51 ; 66 ; 71 ; 49 ; 117 ; 132 ; 417 ; 142 ; 75 ; 151 ; 32 ; 53 ; 78 ; 72 ; 471 ; 159 ; 91 ; 56 ; 201 ; 328 ; 323 ; 236 ; 179 ; 534 ; 347 ; 164 ; 359 
27-Jan;DEPO; 90 ; 71 ; 112 ; 52 ; 66 ; 71 ; 49 ; 117 ; 132 ; 431 ; 142 ; 75 ; 151 ; 32 ; 53 ; 79 ; 72 ; 473 ; 159 ; 91 ; 56 ; 202 ; 328 ; 324 ; 236 ; 180 ; 534 ; 347 ; 164 ; 359 
28-Jan;DEPO; 90 ; 71 ; 112 ; 52 ; 66 ; 72 ; 48 ; 117 ; 132 ; 431 ; 142 ; 75 ; 151 ; 33 ; 53 ; 79 ; 72 ; 468 ; 157 ; 91 ; 56 ; 202 ; 328 ; 324 ; 235 ; 180 ; 534 ; 346 ; 164 ; 359 
29-Jan;DEPO; 90 ; 71 ; 111 ; 52 ; 66 ; 72 ; 48 ; 118 ; 131 ; 431 ; 142 ; 75 ; 151 ; 33 ; 53 ; 79 ; 72 ; 468 ; 157 ; 91 ; 56 ; 202 ; 328 ; 323 ; 235 ; 187 ; 534 ; 346 ; 163 ; 359 
30-Jan;DEPO; 94 ; 71 ; 106 ; 52 ; 66 ; 72 ; 48 ; 118 ; 131 ; 431 ; 141 ; 76 ; 152 ; 33 ; 53 ; 79 ; 72 ; 468 ; 149 ; 91 ; 56 ; 201 ; 331 ; 324 ; 231 ; 186 ; 558 ; 346 ; 163 ; 323 
31-Jan;DEPO; 94 ; 71 ; 106 ; 52 ; 66 ; 72 ; 48 ; 118 ; 131 ; 432 ; 141 ; 76 ; 152 ; 33 ; 53 ; 79 ; 72 ; 468 ; 149 ; 91 ; 56 ; 201 ; 331 ; 323 ; 231 ; 186 ; 559 ; 346 ; 163 ; 323 
01-Feb;DEPO; 93 ; 71 ; 107 ; 52 ; 66 ; 72 ; 48 ; 192 ; 132 ; 430 ; 141 ; 74 ; 152 ; 30 ; 53 ; 79 ; 72 ; 466 ; 157 ; 91 ; 55 ; 201 ; 331 ; 323 ; 230 ; 186 ; 508 ; 348 ; 161 ; 358 
02-Feb;DEPO; 93 ; 71 ; 107 ; 52 ; 66 ; 72 ; 48 ; 192 ; 132 ; 430 ; 141 ; 74 ; 152 ; 30 ; 53 ; 79 ; 72 ; 466 ; 157 ; 91 ; 55 ; 201 ; 331 ; 323 ; 230 ; 186 ; 508 ; 348 ; 161 ; 358 
03-Feb;DEPO; 93 ; 71 ; 107 ; 52 ; 66 ; 72 ; 48 ; 192 ; 131 ; 428 ; 140 ; 73 ; 152 ; 30 ; 53 ; 79 ; 72 ; 466 ; 157 ; 91 ; 53 ; 201 ; 331 ; 323 ; 230 ; 186 ; 508 ; 349 ; 161 ; 358 
04-Feb;DEPO; 94 ; 71 ; 107 ; 52 ; 66 ; 72 ; 48 ; 192 ; 131 ; 428 ; 140 ; 73 ; 152 ; 30 ; 53 ; 79 ; 72 ; 466 ; 157 ; 91 ; 53 ; 201 ; 331 ; 337 ; 230 ; 186 ; 499 ; 350 ; 161 ; 356 
05-Feb;DEPO; 94 ; 71 ; 107 ; 52 ; 66 ; 71 ; 47 ; 192 ; 131 ; 429 ; 140 ; 72 ; 152 ; 30 ; 53 ; 79 ; 72 ; 466 ; 157 ; 90 ; 53 ; 201 ; 330 ; 335 ; 230 ; 186 ; 498 ; 351 ; 159 ; 356 
06-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 205 ; 131 ; 428 ; 140 ; 72 ; 152 ; 30 ; 53 ; 78 ; 72 ; 466 ; 157 ; 90 ; 53 ; 201 ; 325 ; 342 ; 230 ; 186 ; 498 ; 351 ; 159 ; 356 
07-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 205 ; 131 ; 428 ; 140 ; 72 ; 152 ; 30 ; 53 ; 78 ; 72 ; 466 ; 156 ; 90 ; 53 ; 201 ; 325 ; 342 ; 230 ; 186 ; 498 ; 351 ; 159 ; 356 
08-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 205 ; 131 ; 428 ; 140 ; 72 ; 152 ; 30 ; 53 ; 78 ; 72 ; 466 ; 157 ; 90 ; 53 ; 201 ; 325 ; 342 ; 230 ; 185 ; 498 ; 351 ; 159 ; 354 
09-Feb;DEPO; 93 ; 70 ; 107 ; 51 ; 66 ; 71 ; 47 ; 200 ; 131 ; 428 ; 140 ; 71 ; 152 ; 30 ; 53 ; 77 ; 72 ; 466 ; 157 ; 90 ; 53 ; 202 ; 325 ; 337 ; 231 ; 188 ; 498 ; 350 ; 159 ; 354 
10-Feb;DEPO; 93 ; 70 ; 108 ; 51 ; 66 ; 71 ; 47 ; 200 ; 132 ; 431 ; 140 ; 71 ; 149 ; 30 ; 53 ; 77 ; 72 ; 465 ; 158 ; 90 ; 53 ; 202 ; 309 ; 338 ; 231 ; 188 ; 498 ; 350 ; 160 ; 355 
11-Feb;DEPO; 93 ; 70 ; 107 ; 51 ; 66 ; 71 ; 47 ; 200 ; 132 ; 431 ; 140 ; 70 ; 150 ; 30 ; 53 ; 77 ; 74 ; 464 ; 158 ; 90 ; 53 ; 201 ; 309 ; 338 ; 225 ; 188 ; 298 ; 351 ; 160 ; 356 
12-Feb;DEPO; 94 ; 70 ; 107 ; 51 ; 66 ; 71 ; 47 ; 200 ; 132 ; 431 ; 140 ; 70 ; 150 ; 30 ; 53 ; 78 ; 74 ; 465 ; 158 ; 90 ; 53 ; 201 ; 308 ; 321 ; 224 ; 188 ; 298 ; 351 ; 159 ; 356 
13-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 201 ; 132 ; 432 ; 140 ; 70 ; 151 ; 30 ; 53 ; 78 ; 74 ; 465 ; 158 ; 90 ; 53 ; 201 ; 308 ; 327 ; 223 ; 188 ; 248 ; 351 ; 159 ; 356 
14-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 201 ; 132 ; 432 ; 140 ; 70 ; 151 ; 30 ; 53 ; 78 ; 74 ; 465 ; 158 ; 90 ; 53 ; 200 ; 308 ; 327 ; 223 ; 188 ; 248 ; 351 ; 159 ; 356 
15-Feb;DEPO; 94 ; 70 ; 107 ; 52 ; 66 ; 71 ; 47 ; 201 ; 132 ; 432 ; 140 ; 70 ; 150 ; 30 ; 53 ; 78 ; 74 ; 465 ; 158 ; 90 ; 53 ; 200 ; 308 ; 327 ; 223 ; 188 ; 248 ; 351 ; 159 ; 356 
