UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
01-Feb;GIRO; 189 ; 144 ; 73 ; 38 ; 100 ; 49 ; 97 ; 71 ; 73 ; 208 ; 52 ; 105 ; 104 ; 70 ; 61 ; 42 ; 92 ; 93 ; 39 ; 70 ; 17 ; 115 ; 187 ; 268 ; 80 ; 210 ; 73 ; 128 ; 105 ; 277 
02-Feb;GIRO; 192 ; 144 ; 71 ; 32 ; 99 ; 48 ; 95 ; 69 ; 58 ; 206 ; 55 ; 99 ; 106 ; 77 ; 61 ; 38 ; 84 ; 78 ; 42 ; 65 ; 14 ; 163 ; 175 ; 189 ; 78 ; 224 ; 75 ; 114 ; 89 ; 278 
03-Feb;GIRO; 197 ; 141 ; 72 ; 31 ; 83 ; 49 ; 96 ; 68 ; 62 ; 208 ; 52 ; 96 ; 98 ; 75 ; 62 ; 36 ; 83 ; 74 ; 41 ; 63 ; 13 ; 154 ; 177 ; 167 ; 76 ; 235 ; 66 ; 100 ; 86 ; 274 
04-Feb;GIRO; 195 ; 145 ; 71 ; 29 ; 80 ; 48 ; 97 ; 68 ; 55 ; 210 ; 55 ; 99 ; 143 ; 76 ; 63 ; 37 ; 88 ; 77 ; 36 ; 61 ; 15 ; 122 ; 173 ; 158 ; 74 ; 229 ; 68 ; 107 ; 85 ; 274 
05-Feb;GIRO; 164 ; 143 ; 67 ; 34 ; 80 ; 49 ; 96 ; 66 ; 54 ; 193 ; 54 ; 88 ; 92 ; 74 ; 56 ; 36 ; 85 ; 77 ; 43 ; 56 ; 13 ; 95 ; 168 ; 178 ; 74 ; 223 ; 65 ; 105 ; 86 ; 273 
06-Feb;GIRO; 174 ; 149 ; 68 ; 34 ; 85 ; 50 ; 94 ; 69 ; 57 ; 208 ; 56 ; 94 ; 91 ; 72 ; 59 ; 36 ; 91 ; 70 ; 47 ; 56 ; 13 ; 94 ; 179 ; 140 ; 75 ; 219 ; 65 ; 109 ; 92 ; 263 
07-Feb;GIRO; 175 ; 152 ; 68 ; 33 ; 85 ; 49 ; 96 ; 69 ; 58 ; 207 ; 56 ; 96 ; 93 ; 72 ; 59 ; 36 ; 92 ; 71 ; 43 ; 56 ; 15 ; 98 ; 179 ; 142 ; 75 ; 210 ; 67 ; 110 ; 94 ; 264 
08-Feb;GIRO; 175 ; 152 ; 70 ; 33 ; 85 ; 49 ; 96 ; 70 ; 58 ; 209 ; 56 ; 98 ; 92 ; 71 ; 60 ; 37 ; 93 ; 71 ; 43 ; 56 ; 16 ; 101 ; 181 ; 145 ; 75 ; 208 ; 68 ; 111 ; 96 ; 267 
09-Feb;GIRO; 168 ; 151 ; 70 ; 36 ; 102 ; 49 ; 96 ; 67 ; 52 ; 202 ; 60 ; 89 ; 104 ; 71 ; 62 ; 37 ; 88 ; 71 ; 39 ; 56 ; 14 ; 88 ; 166 ; 165 ; 78 ; 214 ; 63 ; 99 ; 98 ; 265 
10-Feb;GIRO; 168 ; 151 ; 69 ; 36 ; 85 ; 49 ; 96 ; 67 ; 60 ; 193 ; 57 ; 91 ; 98 ; 69 ; 62 ; 37 ; 88 ; 74 ; 36 ; 55 ; 15 ; 89 ; 164 ; 167 ; 76 ; 220 ; 60 ; 98 ; 99 ; 267 
11-Feb;GIRO; 167 ; 150 ; 67 ; 32 ; 80 ; 48 ; 95 ; 68 ; 59 ; 193 ; 54 ; 95 ; 97 ; 71 ; 63 ; 38 ; 79 ; 69 ; 37 ; 52 ; 15 ; 93 ; 166 ; 174 ; 86 ; 217 ; 61 ; 101 ; 96 ; 287 
