UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
20-Jan;DPK; 539 ; 441 ; 542 ; 275 ; 350 ; 347 ; 369 ; 351 ; 522 ; 1.215 ; 447 ; 536 ; 663 ; 308 ; 226 ; 278 ; 435 ; 970 ; 385 ; 355 ; 267 ; 436 ; 1.113 ; 1.158 ; 513 ; 798 ; 753 ; 785 ; 470 ; 1.502 
21-Jan;DPK; 536 ; 447 ; 545 ; 285 ; 343 ; 346 ; 364 ; 349 ; 519 ; 1.225 ; 445 ; 537 ; 657 ; 307 ; 223 ; 279 ; 439 ; 961 ; 387 ; 355 ; 269 ; 444 ; 1.100 ; 1.146 ; 516 ; 805 ; 763 ; 787 ; 465 ; 1.500 
22-Jan;DPK; 538 ; 448 ; 547 ; 291 ; 349 ; 349 ; 362 ; 346 ; 515 ; 1.224 ; 448 ; 540 ; 666 ; 322 ; 219 ; 278 ; 437 ; 967 ; 383 ; 350 ; 273 ; 435 ; 1.111 ; 1.136 ; 515 ; 844 ; 768 ; 787 ; 467 ; 1.505 
23-Jan;DPK; 533 ; 443 ; 546 ; 291 ; 345 ; 350 ; 366 ; 339 ; 523 ; 1.240 ; 444 ; 547 ; 668 ; 317 ; 233 ; 275 ; 480 ; 978 ; 397 ; 369 ; 278 ; 433 ; 1.162 ; 1.140 ; 518 ; 836 ; 779 ; 824 ; 450 ; 1.511 
24-Jan;DPK; 531 ; 442 ; 539 ; 288 ; 345 ; 349 ; 366 ; 336 ; 524 ; 1.237 ; 444 ; 554 ; 665 ; 311 ; 231 ; 276 ; 481 ; 976 ; 390 ; 369 ; 277 ; 434 ; 1.158 ; 1.142 ; 515 ; 837 ; 779 ; 821 ; 447 ; 1.501 
25-Jan;DPK; 528 ; 440 ; 537 ; 284 ; 344 ; 348 ; 362 ; 335 ; 525 ; 1.237 ; 444 ; 554 ; 664 ; 309 ; 230 ; 277 ; 481 ; 972 ; 389 ; 366 ; 276 ; 435 ; 1.159 ; 1.143 ; 513 ; 825 ; 778 ; 821 ; 447 ; 1.497 
26-Jan;DPK; 534 ; 454 ; 526 ; 297 ; 372 ; 353 ; 360 ; 330 ; 521 ; 1.238 ; 441 ; 540 ; 662 ; 307 ; 227 ; 268 ; 445 ; 990 ; 393 ; 369 ; 269 ; 419 ; 1.114 ; 1.122 ; 517 ; 857 ; 786 ; 823 ; 449 ; 1.508 
27-Jan;DPK; 538 ; 452 ; 514 ; 285 ; 371 ; 353 ; 360 ; 336 ; 527 ; 1.253 ; 440 ; 540 ; 662 ; 308 ; 229 ; 264 ; 443 ; 995 ; 405 ; 364 ; 271 ; 419 ; 1.106 ; 1.157 ; 516 ; 854 ; 836 ; 831 ; 654 ; 1.499 
28-Jan;DPK; 527 ; 461 ; 530 ; 289 ; 373 ; 352 ; 361 ; 334 ; 527 ; 1.266 ; 446 ; 530 ; 656 ; 308 ; 230 ; 264 ; 441 ; 985 ; 395 ; 360 ; 271 ; 417 ; 1.106 ; 1.254 ; 520 ; 867 ; 833 ; 838 ; 677 ; 1.507 
29-Jan;DPK; 543 ; 486 ; 528 ; 296 ; 368 ; 352 ; 363 ; 328 ; 529 ; 1.266 ; 450 ; 571 ; 658 ; 314 ; 221 ; 265 ; 439 ; 984 ; 395 ; 359 ; 271 ; 446 ; 1.108 ; 1.242 ; 527 ; 886 ; 843 ; 873 ; 684 ; 1.517 
30-Jan;DPK; 580 ; 490 ; 548 ; 309 ; 386 ; 362 ; 371 ; 397 ; 545 ; 1.349 ; 450 ; 571 ; 667 ; 314 ; 228 ; 271 ; 474 ; 1.064 ; 411 ; 379 ; 282 ; 493 ; 1.151 ; 1.362 ; 535 ; 885 ; 821 ; 963 ; 695 ; 1.593 
31-Jan;DPK; 579 ; 502 ; 539 ; 321 ; 386 ; 365 ; 370 ; 400 ; 553 ; 1.354 ; 450 ; 578 ; 688 ; 313 ; 233 ; 274 ; 475 ; 1.062 ; 425 ; 379 ; 282 ; 500 ; 1.152 ; 1.365 ; 532 ; 894 ; 822 ; 965 ; 742 ; 1.589 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Feb;DPK; 580 ; 505 ; 545 ; 319 ; 385 ; 369 ; 374 ; 404 ; 557 ; 1.363 ; 454 ; 587 ; 679 ; 317 ; 239 ; 279 ; 485 ; 1.085 ; 418 ; 384 ; 287 ; 504 ; 1.155 ; 1.382 ; 542 ; 896 ; 823 ; 972 ; 704 ; 1.650 
02-Feb;DPK; 577 ; 493 ; 545 ; 300 ; 385 ; 360 ; 369 ; 476 ; 540 ; 1.351 ; 449 ; 572 ; 677 ; 319 ; 233 ; 271 ; 447 ; 1.011 ; 411 ; 378 ; 274 ; 545 ; 1.140 ; 1.251 ; 536 ; 906 ; 771 ; 921 ; 688 ; 1.606 
03-Feb;DPK; 576 ; 489 ; 534 ; 296 ; 369 ; 361 ; 367 ; 481 ; 546 ; 1.348 ; 446 ; 570 ; 666 ; 327 ; 234 ; 269 ; 445 ; 1.010 ; 399 ; 370 ; 271 ; 516 ; 1.136 ; 1.229 ; 529 ; 922 ; 706 ; 878 ; 482 ; 1.590 
04-Feb;DPK; 572 ; 491 ; 531 ; 296 ; 365 ; 357 ; 367 ; 478 ; 538 ; 1.351 ; 446 ; 572 ; 702 ; 326 ; 235 ; 267 ; 447 ; 1.010 ; 391 ; 361 ; 271 ; 479 ; 1.127 ; 1.240 ; 523 ; 892 ; 698 ; 861 ; 477 ; 1.587 
05-Feb;DPK; 540 ; 488 ; 527 ; 294 ; 366 ; 352 ; 362 ; 481 ; 537 ; 1.331 ; 441 ; 558 ; 666 ; 317 ; 231 ; 266 ; 446 ; 1.004 ; 395 ; 357 ; 270 ; 456 ; 1.123 ; 1.257 ; 518 ; 881 ; 694 ; 865 ; 454 ; 1.582 
06-Feb;DPK; 550 ; 493 ; 526 ; 292 ; 372 ; 355 ; 363 ; 422 ; 544 ; 1.380 ; 446 ; 561 ; 661 ; 313 ; 236 ; 266 ; 476 ; 994 ; 406 ; 355 ; 277 ; 461 ; 1.108 ; 1.268 ; 533 ; 874 ; 745 ; 881 ; 460 ; 1.565 
07-Feb;DPK; 548 ; 495 ; 523 ; 284 ; 372 ; 353 ; 363 ; 422 ; 543 ; 1.376 ; 446 ; 563 ; 659 ; 312 ; 235 ; 266 ; 477 ; 990 ; 402 ; 354 ; 276 ; 464 ; 1.104 ; 1.266 ; 530 ; 860 ; 748 ; 880 ; 460 ; 1.563 
08-Feb;DPK; 546 ; 493 ; 522 ; 282 ; 371 ; 351 ; 362 ; 421 ; 544 ; 1.377 ; 445 ; 565 ; 657 ; 311 ; 236 ; 267 ; 478 ; 986 ; 402 ; 354 ; 277 ; 465 ; 1.107 ; 1.268 ; 527 ; 855 ; 748 ; 880 ; 462 ; 1.560 
09-Feb;DPK; 541 ; 474 ; 521 ; 282 ; 383 ; 350 ; 361 ; 415 ; 527 ; 1.376 ; 450 ; 557 ; 662 ; 308 ; 232 ; 267 ; 448 ; 985 ; 394 ; 350 ; 276 ; 412 ; 1.092 ; 1.221 ; 531 ; 860 ; 744 ; 868 ; 464 ; 1.547 
10-Feb;DPK; 544 ; 476 ; 522 ; 287 ; 366 ; 353 ; 361 ; 419 ; 539 ; 1.389 ; 445 ; 559 ; 655 ; 304 ; 234 ; 264 ; 449 ; 989 ; 390 ; 350 ; 271 ; 413 ; 1.079 ; 1.227 ; 511 ; 863 ; 687 ; 833 ; 463 ; 1.538 
11-Feb;DPK; 542 ; 477 ; 534 ; 284 ; 363 ; 349 ; 361 ; 419 ; 533 ; 1.382 ; 444 ; 562 ; 654 ; 313 ; 233 ; 267 ; 441 ; 982 ; 389 ; 349 ; 271 ; 416 ; 1.078 ; 1.232 ; 515 ; 855 ; 487 ; 829 ; 459 ; 1.555 
12-Feb;DPK; 549 ; 477 ; 527 ; 282 ; 365 ; 356 ; 365 ; 421 ; 522 ; 1.369 ; 440 ; 561 ; 647 ; 311 ; 224 ; 267 ; 439 ; 982 ; 395 ; 346 ; 271 ; 413 ; 1.080 ; 1.232 ; 510 ; 860 ; 486 ; 831 ; 457 ; 1.579 
