UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Mar;TABUNGAN; 367 ; 330 ; 351 ; 198 ; 252 ; 248 ; 254 ; 217 ; 318 ; 791 ; 243 ; 396 ; 419 ; 222 ; 162 ; 174 ; 363 ; 523 ; 251 ; 242 ; 187 ; 336 ; 737 ; 761 ; 274 ; 554 ; 204 ; 570 ; 452 ; 1.091 
02-Mar;TABUNGAN; 364 ; 360 ; 349 ; 197 ; 252 ; 238 ; 253 ; 213 ; 309 ; 774 ; 239 ; 373 ; 468 ; 216 ; 155 ; 167 ; 309 ; 477 ; 241 ; 239 ; 175 ; 339 ; 737 ; 772 ; 270 ; 555 ; 236 ; 542 ; 382 ; 1.028 
03-Mar;TABUNGAN; 369 ; 361 ; 343 ; 198 ; 236 ; 223 ; 257 ; 212 ; 299 ; 773 ; 230 ; 378 ; 420 ; 217 ; 153 ; 166 ; 308 ; 478 ; 234 ; 231 ; 175 ; 281 ; 750 ; 754 ; 265 ; 562 ; 239 ; 503 ; 382 ; 1.024 
04-Mar;TABUNGAN; 359 ; 347 ; 338 ; 199 ; 239 ; 221 ; 250 ; 210 ; 290 ; 763 ; 227 ; 374 ; 426 ; 215 ; 154 ; 162 ; 307 ; 468 ; 231 ; 214 ; 171 ; 258 ; 734 ; 745 ; 254 ; 549 ; 235 ; 510 ; 264 ; 1.015 
05-Mar;TABUNGAN; 363 ; 346 ; 344 ; 203 ; 240 ; 224 ; 255 ; 223 ; 294 ; 783 ; 229 ; 382 ; 405 ; 218 ; 149 ; 164 ; 308 ; 471 ; 244 ; 215 ; 175 ; 259 ; 739 ; 745 ; 259 ; 563 ; 225 ; 495 ; 269 ; 1.076 
06-Mar;TABUNGAN; 365 ; 334 ; 346 ; 204 ; 261 ; 226 ; 255 ; 196 ; 293 ; 777 ; 232 ; 380 ; 401 ; 217 ; 145 ; 160 ; 311 ; 465 ; 241 ; 216 ; 177 ; 257 ; 720 ; 726 ; 263 ; 558 ; 240 ; 493 ; 252 ; 1.079 
07-Mar;TABUNGAN; 360 ; 332 ; 346 ; 202 ; 257 ; 223 ; 253 ; 195 ; 290 ; 776 ; 231 ; 379 ; 392 ; 214 ; 146 ; 160 ; 309 ; 461 ; 239 ; 214 ; 176 ; 253 ; 715 ; 726 ; 257 ; 553 ; 239 ; 493 ; 251 ; 1.067 
08-Mar;TABUNGAN; 358 ; 331 ; 344 ; 201 ; 256 ; 222 ; 252 ; 194 ; 288 ; 772 ; 230 ; 377 ; 390 ; 213 ; 145 ; 160 ; 308 ; 459 ; 238 ; 213 ; 175 ; 252 ; 711 ; 722 ; 256 ; 550 ; 238 ; 490 ; 250 ; 1.062 
09-Mar;TABUNGAN; 359 ; 332 ; 345 ; 202 ; 257 ; 222 ; 253 ; 194 ; 289 ; 774 ; 230 ; 378 ; 391 ; 213 ; 145 ; 160 ; 309 ; 460 ; 238 ; 214 ; 176 ; 253 ; 713 ; 724 ; 257 ; 552 ; 239 ; 491 ; 251 ; 1.065 
10-Mar;TABUNGAN; 363 ; 336 ; 350 ; 204 ; 260 ; 225 ; 256 ; 197 ; 293 ; 784 ; 233 ; 383 ; 396 ; 216 ; 147 ; 162 ; 313 ; 466 ; 241 ; 216 ; 178 ; 256 ; 722 ; 733 ; 260 ; 559 ; 242 ; 498 ; 254 ; 1.078 
11-Mar;TABUNGAN; 361 ; 334 ; 348 ; 203 ; 259 ; 224 ; 254 ; 196 ; 291 ; 779 ; 232 ; 381 ; 394 ; 215 ; 146 ; 161 ; 311 ; 463 ; 240 ; 215 ; 177 ; 254 ; 718 ; 729 ; 259 ; 556 ; 240 ; 495 ; 252 ; 1.072 
12-Mar;TABUNGAN; 362 ; 335 ; 349 ; 204 ; 259 ; 224 ; 255 ; 196 ; 292 ; 781 ; 233 ; 382 ; 395 ; 216 ; 147 ; 162 ; 312 ; 464 ; 241 ; 216 ; 178 ; 255 ; 720 ; 731 ; 259 ; 557 ; 241 ; 496 ; 253 ; 1.075 
13-Mar;TABUNGAN; 289 ; 257 ; 359 ; 242 ; 211 ; 232 ; 239 ; 178 ; 319 ; 819 ; 245 ; 407 ; 421 ; 228 ; 138 ; 168 ; 324 ; 547 ; 293 ; 229 ; 221 ; 213 ; 755 ; 792 ; 260 ; 512 ; 188 ; 488 ; 239 ; 1.078 
